fecha,hora,spot,altura_m,periodo_s,dir_swell_deg,viento_kmh,viento_dir_deg,calidad_0_5,feedback_usuario
2026-09-25,00:00,Almenara,0.17,4.8,84,4.5,284,0,
2026-09-25,00:00,Burriana,0.17,4.8,84,4.5,284,0,
2026-09-25,00:00,Gurugu,0.17,4.8,84,4.5,284,0,
2026-09-25,00:00,La Renegà,0.20,4.8,84,4.5,284,1,
2026-09-25,00:00,Nules,0.17,4.8,84,4.5,284,0,
2026-09-25,00:00,Peñíscola N,0.19,4.8,84,4.5,284,0,
2026-09-25,00:00,Pirámides,0.14,4.8,84,4.5,284,0,
2026-09-25,00:00,Planetario,0.17,4.8,84,4.5,284,0,
2026-09-25,00:00,Vinaròs,0.19,4.8,84,4.5,284,0,
2026-09-25,00:00,Voramar,0.09,4.8,84,4.5,284,0,
2026-09-25,01:00,Almenara,0.20,4.7,89,4.6,315,1,
2026-09-25,01:00,Burriana,0.20,4.7,89,4.6,315,1,
2026-09-25,01:00,Gurugu,0.20,4.7,89,4.6,315,1,
2026-09-25,01:00,La Renegà,0.22,4.7,89,4.6,315,1,
2026-09-25,01:00,Nules,0.20,4.7,89,4.6,315,1,
2026-09-25,01:00,Peñíscola N,0.22,4.7,89,4.6,315,1,
2026-09-25,01:00,Pirámides,0.17,4.7,89,4.6,315,0,
2026-09-25,01:00,Planetario,0.20,4.7,89,4.6,315,1,
2026-09-25,01:00,Vinaròs,0.22,4.7,89,4.6,315,1,
2026-09-25,01:00,Voramar,0.12,4.7,89,4.6,315,0,
2026-09-25,02:00,Almenara,0.21,4.6,95,5.8,338,1,
2026-09-25,02:00,Burriana,0.21,4.6,95,5.8,338,1,
2026-09-25,02:00,Gurugu,0.21,4.6,95,5.8,338,1,
2026-09-25,02:00,La Renegà,0.21,4.6,95,5.8,338,1,
2026-09-25,02:00,Nules,0.21,4.6,95,5.8,338,1,
2026-09-25,02:00,Peñíscola N,0.22,4.6,95,5.8,338,1,
2026-09-25,02:00,Pirámides,0.18,4.6,95,5.8,338,0,
2026-09-25,02:00,Planetario,0.21,4.6,95,5.8,338,1,
2026-09-25,02:00,Vinaròs,0.22,4.6,95,5.8,338,1,
2026-09-25,02:00,Voramar,0.14,4.6,95,5.8,338,0,
2026-09-25,03:00,Almenara,0.21,4.5,99,5.8,353,1,
2026-09-25,03:00,Burriana,0.21,4.5,99,5.8,353,1,
2026-09-25,03:00,Gurugu,0.21,4.5,99,5.8,353,1,
2026-09-25,03:00,La Renegà,0.21,4.5,99,5.8,353,1,
2026-09-25,03:00,Nules,0.21,4.5,99,5.8,353,1,
2026-09-25,03:00,Peñíscola N,0.22,4.5,99,5.8,353,1,
2026-09-25,03:00,Pirámides,0.19,4.5,99,5.8,353,0,
2026-09-25,03:00,Planetario,0.21,4.5,99,5.8,353,1,
2026-09-25,03:00,Vinaròs,0.22,4.5,99,5.8,353,1,
2026-09-25,03:00,Voramar,0.15,4.5,99,5.8,353,0,
2026-09-25,04:00,Almenara,0.23,4.5,102,5.1,352,1,
2026-09-25,04:00,Burriana,0.23,4.5,102,5.1,352,1,
2026-09-25,04:00,Gurugu,0.23,4.5,102,5.1,352,1,
2026-09-25,04:00,La Renegà,0.23,4.5,102,5.1,352,1,
2026-09-25,04:00,Nules,0.23,4.5,102,5.1,352,1,
2026-09-25,04:00,Peñíscola N,0.24,4.5,102,5.1,352,1,
2026-09-25,04:00,Pirámides,0.22,4.5,102,5.1,352,1,
2026-09-25,04:00,Planetario,0.23,4.5,102,5.1,352,1,
2026-09-25,04:00,Vinaròs,0.24,4.5,102,5.1,352,1,
2026-09-25,04:00,Voramar,0.18,4.5,102,5.1,352,0,
2026-09-25,05:00,Almenara,0.24,4.5,106,5.5,337,1,
2026-09-25,05:00,Burriana,0.24,4.5,106,5.5,337,1,
2026-09-25,05:00,Gurugu,0.24,4.5,106,5.5,337,1,
2026-09-25,05:00,La Renegà,0.22,4.5,106,5.5,337,1,
2026-09-25,05:00,Nules,0.24,4.5,106,5.5,337,1,
2026-09-25,05:00,Peñíscola N,0.24,4.5,106,5.5,337,1,
2026-09-25,05:00,Pirámides,0.22,4.5,106,5.5,337,1,
2026-09-25,05:00,Planetario,0.24,4.5,106,5.5,337,1,
2026-09-25,05:00,Vinaròs,0.24,4.5,106,5.5,337,1,
2026-09-25,05:00,Voramar,0.19,4.5,106,5.5,337,0,
2026-09-25,06:00,Almenara,0.24,4.4,107,5.7,325,1,
2026-09-25,06:00,Burriana,0.24,4.4,107,5.7,325,1,
2026-09-25,06:00,Gurugu,0.24,4.4,107,5.7,325,1,
2026-09-25,06:00,La Renegà,0.22,4.4,107,5.7,325,1,
2026-09-25,06:00,Nules,0.24,4.4,107,5.7,325,1,
2026-09-25,06:00,Peñíscola N,0.24,4.4,107,5.7,325,1,
2026-09-25,06:00,Pirámides,0.22,4.4,107,5.7,325,1,
2026-09-25,06:00,Planetario,0.24,4.4,107,5.7,325,1,
2026-09-25,06:00,Vinaròs,0.24,4.4,107,5.7,325,1,
2026-09-25,06:00,Voramar,0.19,4.4,107,5.7,325,0,
2026-09-25,07:00,Almenara,0.26,4.4,109,5.7,325,1,
2026-09-25,07:00,Burriana,0.26,4.4,109,5.7,325,1,
2026-09-25,07:00,Gurugu,0.26,4.4,109,5.7,325,1,
2026-09-25,07:00,La Renegà,0.23,4.4,109,5.7,325,1,
2026-09-25,07:00,Nules,0.26,4.4,109,5.7,325,1,
2026-09-25,07:00,Peñíscola N,0.26,4.4,109,5.7,325,1,
2026-09-25,07:00,Pirámides,0.25,4.4,109,5.7,325,1,
2026-09-25,07:00,Planetario,0.26,4.4,109,5.7,325,1,
2026-09-25,07:00,Vinaròs,0.26,4.4,109,5.7,325,1,
2026-09-25,07:00,Voramar,0.21,4.4,109,5.7,325,1,
2026-09-25,08:00,Almenara,0.26,4.4,110,6.0,327,1,
2026-09-25,08:00,Burriana,0.26,4.4,110,6.0,327,1,
2026-09-25,08:00,Gurugu,0.26,4.4,110,6.0,327,1,
2026-09-25,08:00,La Renegà,0.23,4.4,110,6.0,327,1,
2026-09-25,08:00,Nules,0.26,4.4,110,6.0,327,1,
2026-09-25,08:00,Peñíscola N,0.26,4.4,110,6.0,327,1,
2026-09-25,08:00,Pirámides,0.25,4.4,110,6.0,327,1,
